Date,Country,TotalConfirmed,TotalActiveCases,TotalDeaths,TotalRecovered
2020-08-31,Portugal,57768,14064,1819,41885
2020-08-31,Qatar,118575,2948,197,115430
2020-08-31,Republic of Kosovo,12683,3407,488,8788
2020-08-31,Romania,86785,45542,3578,37665
2020-08-31,Russian Federation,987470,165484,17045,804941
2020-08-31,Rwanda,4020,2086,16,1918
2020-08-31,Saint Kitts and Nevis,17,0,0,17
2020-08-31,Saint Lucia,26,1,0,25
2020-08-31,Saint Vincent and Grenadines,60,3,0,57
2020-08-31,San Marino,710,10,42,658
2020-08-31,Sao Tome and Principe,896,30,15,851
2020-08-31,Saudi Arabia,314821,21284,3870,289667
2020-08-31,Senegal,13556,3884,284,9388
2020-08-31,Serbia,31365,30654,711,0
2020-08-31,Seychelles,136,9,0,127
2020-08-31,Sierra Leone,2022,358,70,1594
2020-08-31,Singapore,56771,1158,27,55586
2020-08-31,Slovakia,3876,1565,33,2278
2020-08-31,Slovenia,2865,449,133,2283
2020-08-31,Somalia,3310,731,98,2481
2020-08-31,South Africa,625056,72424,14028,538604
2020-08-31,South Sudan,2519,1182,47,1290
2020-08-31,Spain,439286,259899,29011,150376
2020-08-31,Sri Lanka,3012,140,12,2860
2020-08-31,Sudan,13189,5754,823,6612
2020-08-31,Suriname,4009,869,67,3073
2020-08-31,Swaziland,4561,992,91,3478
2020-08-31,Sweden,83958,78137,5821,0
2020-08-31,Switzerland,42014,4209,2005,35800
2020-08-31,Syrian Arab Republic (Syria),2703,1980,109,614
2020-08-31,"Taiwan, Republic of China",488,19,7,462
2020-08-31,Tajikistan,8516,1139,68,7309
2020-08-31,"Tanzania, United Republic of",509,305,21,183
2020-08-31,Thailand,3411,101,58,3252
2020-08-31,Timor-Leste,27,2,0,25
2020-08-31,Togo,1396,373,27,996
2020-08-31,Trinidad and Tobago,1683,768,21,894
2020-08-31,Tunisia,3685,2047,76,1562
2020-08-31,Turkey,268546,18381,6326,243839
2020-08-31,Uganda,2928,1610,30,1288
2020-08-31,Ukraine,121930,60580,2575,58775
2020-08-31,United Arab Emirates,69690,8708,382,60600
2020-08-31,United Kingdom,336668,293458,41586,1624
2020-08-31,United States of America,5996431,3659426,183066,2153939
2020-08-31,Uruguay,1585,163,44,1378
2020-08-31,Uzbekistan,41424,2456,313,38655
2020-08-31,Venezuela (Bolivarian Republic),45868,8396,381,37091
2020-08-31,Viet Nam,1040,313,32,695
2020-08-31,Western Sahara,10,1,1,8
2020-08-31,Yemen,1953,266,564,1123
2020-08-31,Zambia,12025,284,287,11454
2020-08-31,Zimbabwe,6412,1155,196,5061
